1,Breakfast Pizza,7,Breakfast
2,Chicken Teriyaki and Vegies,7,Lunch
3,Classic Omelete with Roasted Sweet Potatos,9,Breakfast
4,Cuscus with Lentils and Vegetables,8,Lunch or Dinner
5,Eggplant Parmesan,6,Lunch or Dinner
6,Fruit and Cheese Danish,4,Breakfast
7,Greek Salad with Chick Peas and Feta,6,Dinner
8,Grilled Cheese with Vegetables Soup,5,Dinner
9,Mediterranean Dinner Salad,5,Dinner
10,Pasta Primavera with Side Salad,5,Lunch
11,Pasta with meat sauce,8,Lunch
12,Pop Corn,1,Snack
13,Scrambled Eggs with Roasted Potato,9,Breakfast
14,Sliced Egg Sandwich,3,Snack
15,Tuna Sandwich with Side Salad,7,Lunch or Dinner
16,Turkey Sandwich,5,Snack
17,Vegetable Soup,2,Snack
18,Vegetarian Tossed Salad,7,Dinner
19,Veggie Burger with Sauted Vegetables and Quinoa,6,Dinner
20,Veggie Chilli,7,Lunch or Dinner
21,Veggie Lettuce Wraps,6,Dinner
22,Veggie Omelete with Toast,6,Breakfast
23,Spinash Feta Scramble (pag 4),5,Breakfast
24,Bacon Cheddar Egg Engilsh Muffin (pag 11),6,Breakfast
25,Breakfast Berry Parfaits (pag 14),6,Breakfast
26,Turkey Wraps with Lemon Yougurt Sauce (pag 22),6,Dinner
27,Salmon Salad Sandwich (pag 25),8,Lunch
28,Avocado Spinach and Feta Wrap (pag 32),7,Dinner
29,Tropical Turkey Salad (pag 40),7,Lunch or Dinner
30,Grilled Citrus Pork with Cucumber-Orange Salad (pag 51),7,Lunch
31,Grilled Chicken Salad with Raspberries and Goat Cheese (pag 57),6,Lunch
32,Turkey and Roast Pepper Lettuce Wraps (pag 76),3,Snack
33,Frittata Italiana (pag 88),5,Breakfast
34,Hash Brown and Egg Skillet Breakfast (92),6,Breakfast
35,Chicken and tzatziki stffed pitas(99),11,Dinner
36,Ham and macarroni salad(105),6,Lunch
37,Chicken coconout curry (133),7,Lunch
38,Mediterranean Turkey Burger (139),8,Dinner
39,Fetuccine with goat cheese (154),7,Lunch
40,Pasta Salad with Apple (202),8,Lunch
41,Stir Fry Beef with Asparragus(217),8,Lunch
42,Mushroom scallions and cheese quesadillas (250),3,Dinner
43,Provenzal style vegetable chick peas stew (291),3,Dinner
44,Veggie Breakfast Burrito (8),6,Breakfast
45,Southern Huevos Rancheros (9),7,Breakfast
46,Quick Turkey Tostadas (27),7,Dinner
47,Best BLTs (30),7,Dinner
48,Maple and Chili Broiled T-bone Steaks (46),6,Lunch
49,Filets Mignons with Cauliflower Puree (48),6,Lunch
50,Corn and Green Chile Frittata (86),4,Breakfast
51,Mani Tortilla Pizzas (122),6,Dinner
52,Steak Fajitas (123),10,Dinner
